,FIPS Code,State,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
409,51685,VA,17.3,26.4,28.4,27.9
410,51700,VA,9.0,28.5,36.2,26.3
411,51710,VA,12.0,25.6,33.6,28.8
412,51730,VA,17.2,35.7,27.3,19.8
413,51735,VA,5.1,25.9,26.8,42.2
414,51740,VA,11.7,30.1,36.3,21.9
415,51760,VA,14.6,21.8,24.0,39.6
416,51800,VA,10.1,27.1,33.3,29.5
417,51810,VA,6.5,21.0,36.5,36.0
418,51830,VA,5.3,18.7,19.2,56.8
419,53011,WA,7.3,24.2,37.8,30.6
420,53033,WA,6.9,15.0,25.6,52.5
421,53053,WA,8.5,27.2,37.1,27.2
422,53059,WA,8.4,30.4,36.8,24.5
423,53061,WA,7.7,23.3,36.2,32.8
424,54037,WV,10.2,31.0,27.1,31.8
425,55059,WI,9.9,30.1,33.9,26.1
426,55079,WI,11.7,28.4,29.0,31.0
427,55089,WI,3.2,20.0,27.9,49.0
428,55093,WI,4.9,32.1,33.9,29.2
429,55109,WI,3.8,24.6,36.2,35.4
430,55131,WI,5.1,30.3,33.2,31.5
431,55133,WI,3.8,22.7,29.1,44.5
432,72007,PR,29.3,29.7,23.1,17.8
433,72009,PR,21.9,34.6,21.7,21.8
434,72017,PR,25.9,30.7,21.3,22.1
435,72019,PR,27.3,30.5,22.8,19.5
436,72021,PR,19.3,23.8,28.1,28.8
437,72025,PR,18.6,26.9,23.2,31.4
438,72029,PR,24.9,31.2,20.7,23.2
439,72031,PR,15.4,26.1,26.7,31.8
440,72033,PR,26.5,30.0,23.2,20.3
441,72035,PR,24.6,30.7,20.5,24.2
442,72037,PR,26.8,32.0,23.2,18.1
443,72039,PR,32.9,29.4,22.0,15.8
444,72041,PR,23.9,31.0,21.2,23.9
445,72045,PR,29.7,29.2,27.8,13.3
446,72047,PR,30.7,26.2,23.9,19.2
447,72051,PR,19.1,29.2,21.6,30.1
448,72053,PR,19.9,34.0,20.8,25.3
449,72054,PR,22.4,36.1,28.4,13.2
450,72061,PR,15.5,16.9,22.4,45.1
451,72063,PR,19.7,23.4,23.5,33.4
452,72069,PR,23.4,30.8,22.7,23.1
453,72077,PR,24.5,29.2,27.2,19.0
454,72085,PR,22.2,24.3,31.2,22.4
455,72087,PR,25.0,39.4,20.8,14.7
456,72089,PR,23.0,32.0,24.6,20.4
457,72091,PR,27.4,29.3,20.9,22.4
458,72095,PR,33.5,26.2,23.4,16.9
459,72101,PR,29.5,27.6,26.4,16.5
460,72103,PR,26.4,33.4,20.0,20.2
461,72105,PR,29.2,24.6,30.0,16.1
462,72107,PR,32.3,33.4,17.3,17.0
